Pulse number,Conductance (W11),Moving averaged conductance (W11),Conductance (W12),Moving averaged conductance (W12),
120,9.22E-05,9.29E-05,1.10E-04,1.12E-04,
121,8.97E-05,9.26E-05,1.07E-04,1.11E-04,
122,9.10E-05,9.25E-05,1.13E-04,1.10E-04,
123,9.80E-05,9.23E-05,1.16E-04,1.10E-04,
124,9.53E-05,9.21E-05,1.16E-04,1.11E-04,
125,9.15E-05,9.21E-05,1.11E-04,1.11E-04,
126,9.07E-05,9.22E-05,1.03E-04,1.11E-04,
127,9.05E-05,9.27E-05,1.10E-04,1.12E-04,
128,8.92E-05,9.19E-05,1.05E-04,1.11E-04,
129,9.30E-05,9.15E-05,1.15E-04,1.10E-04,
130,9.18E-05,9.12E-05,1.11E-04,1.09E-04,
131,9.08E-05,9.12E-05,1.13E-04,1.10E-04,
132,9.66E-05,9.16E-05,1.16E-04,1.10E-04,
